food_id,food_name,scientific_name,food_category,source,food_type,serving_size_g,energy_kcal,protein_g,fat_g,carbs_g,fiber_g,water_g,sodium_mg,potassium_mg,phosphorus_mg,calcium_mg,magnesium_mg,iron_mg,zinc_mg,vitamin_c_mg,vitamin_b6_mg,folate_ug,vitamin_e_mg,saturated_fat_g,mufa_g,pufa_g,cholesterol_mg,starch_g,sugars_free_g,oxalate_mg,phytic_acid_mg,total_carbs_g,na_k_ratio,protein_quality,ingredients,brand,nutriscore_grade,unified_id,data_completeness
OFF_8901491502030,Lay's American Style Cream & Onion Flavour,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,537.0,6.7,33.1,53.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,53.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), 'Seasoning (Sugar, iodised Salt, Milk Solids, ^Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking Agent (551)).Contains Onion ALLERGEN ADVICE: Contains _Soy_, _Milk_ May Contain _Sulphite_ 'As flavouring agent ,^Contsins onion",Lay's,e,FOOD_002478,0.32142857142857145
OFF_8901491502054,Lay's West Indies' Hot 'n' Sweet Chilli,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,534.0,6.4,32.0,55.1,0.0,0.0,671.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,55.1,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), ^Spices & Condiments, Flavour Enhancers (E627 & E631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking Agent (551), Cocoa Solids, Lactose). *As flavouring agent. ^Contains _Onion_ and _Garlic_ ALLERGEN ADVICE: Contains _Nut_, _Milk_, _Wheat_ May Contain _Sulphite_",Lay's,e,FOOD_002479,0.32142857142857145
OFF_8901491503013,Yellow Salted Lays,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,553.0,6.7,35.1,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,52.6,0.0,Unknown,"Potato, edible vegetable oil (palmolein rice bran oil), lodised salt",Lays,unknown,FOOD_002480,0.2857142857142857
OFF_8901491503020,masala,,Spices_Condiments,OpenFoodFacts,Packaged_Food,100,539.0,6.9,33.1,53.4,0.0,0.0,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,53.4,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein Oil, Rice Bran Oil), &quot;Spices & Condiments (Onion Powder, Chili Powder, Dried Mango Powder, Coriander Seed Powder, Ginger Powder, Garlic Powder, Black Pepper Powder, Spices Extract, Turmeric Powder), lodised Salt, Black Salt, Tomato Powder, Citric Acid (330). Sugar, CONTAINS ADDED FLAVOUR (NATURAL & NATURE IDENTICAL",Lay's,e,FOOD_002481,0.32142857142857145
OFF_8901491503037,American Style Cream & Onion 10rs,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,537.0,6.7,33.1,53.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,53.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Rice Bran Oil), *Seasoning (Sugar, Iodised Sat, _Milk_ Solids, ~Spices & Condiments, Maltodextrin, Flavour (Natural and Nature Identical Flavouring Substances), Cheese Powder, Hydrolysed Vegetable Protein, Flavour Enhancers (627, 631), Edible Vegetable Oil (Palm, Coconut), Anticaking agent (551)). *As fiavouring agent. ~Contains Onion ALLERGEN ADVICE: Contains _Soy_, _Milk_ May Contain _Sulphite_","Lay's,PepsiCo",e,FOOD_002482,0.32142857142857145
OFF_8901491503051,West Indies' Hot 'n' Sweet Chilli Potato Chips,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,534.0,6.3,31.9,55.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.4,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein Oil), *Seasoning (Sugar, Maltodextrin, lodised Salt, Flavour (Natural and Nature Identical Flavouring Substances), &quot;Spices & Condiments, Flavour Enhancers (627 & 631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking agent (551), Cocoa Solids, Lactose). &quot;As flavouring agent. &quot;Contains Onion and Garlic",Lay's,unknown,FOOD_002483,0.25
OFF_8901491504782,West Indies hotn sweet chilli,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,533.0,6.67,33.3,53.3,0.0,0.0,667.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,53.3,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein, Sunflower Oil), Sugar, Maltodextrin, Iodised Salt, Natural and Nature Identical Flavouring Substances, Spices ,  Condiments, Flavour Enhancers (627 ,  631), Edible Vegetable Oil (Palm, Sunflower, Peanut), Hydrolysed Vegetable Protein, Anticaking Agent (551), Cocoa Solids, Lactose",Lay's,e,FOOD_002484,0.32142857142857145
OFF_8901491702188,Oats,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,408.0,11.8,9.5,68.5,10.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,78.5,0.0,Unknown,,Quaker,a,FOOD_002485,0.35714285714285715
OFF_8901491702539,Oats Multigrain,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,407.0,11.1,9.0,71.0,12.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,83.0,0.0,Unknown,"Wholegrain Whole Oat Flakes (60%), Wheat Flakes (18%), Barley Flakes(10%), Ragi Flakes (5%), Flax Seeds (5%), Sugar, Iodised Salt, Malt Extract, Flavor (Natural Flavouring Substances).",Quaker,a,FOOD_002486,0.35714285714285715
OFF_8901491702546,Oats Multigrain,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,407.0,11.1,9.0,71.0,12.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,83.0,0.0,Unknown,Oat flakes,Quaker,a,FOOD_002487,0.35714285714285715
OFF_8901491703055,Rolled Oat Flakes,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,407.0,11.8,9.5,68.5,10.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,78.5,0.0,Unknown,,Quaker,a,FOOD_002488,0.35714285714285715
OFF_8901491981538,Lay’s Chile Limon,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,535.0,6.4,33.2,52.0,0.0,0.0,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,52.0,0.0,Unknown,,Lay’s,e,FOOD_002489,0.32142857142857145
OFF_8901491981552,Lay’s Chile Limon 20rs,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,533.0,6.67,33.3,53.3,0.0,0.0,967.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,0.0,53.3,0.0,Unknown,"ca, mirl lay's is the registereu cor feedback or queries, write to the consumer services manager, pepsico india holdings pvt, ltd,, p,o, box 27, dlf qutab enclave, phase-1, gurugram-122002, haryana, india, or call us at 1800 22 4020 cr email us at consumer,feedback@pepsico,com proprietary food - potato chips (15,1) as compared to previous lay's chile limón our packs,  limited period offer, valid in ct geographies, gredients: potato, edible vegetable oil molein oil), *seasoning (sugar, lodised salt, favour (natural and nature identical flavouring substances), ~spices , condiments, maltodextrin, lime juice powder, anticaking agent (551), edible vegetable oil (sunflower seed oil), flavour enhancers (627, 631), corn syrup solids), *as flavouring agent, contains onion and garlic",Lay's,e,FOOD_002490,0.32142857142857145
OFF_8901491981682,Lays Cream and Onion Patato Chips,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,537.0,6.7,33.1,53.0,0.0,0.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,53.0,0.0,Unknown,"Potato, Edible Vegetable Oil (Paimolein Oil, Rice Bran Oil), Sugar, iodised Salt, Milk Products (Milk Solids, Cheese Powder) (1.4%), &quot;Spices",Lay's,e,FOOD_002491,0.32142857142857145
OFF_8901491981699,Lay's magic masala,,Spices_Condiments,OpenFoodFacts,Packaged_Food,100,531.0,6.6,33.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,51.9,0.0,Unknown,"Potato, Edible Vegetable Oil Palmolein, Sunflower Oil), *Seasoning (&quot;Spices & Condiments, Maltodextrin, lodised Salt, Sugar, Flavour Natural & Nature Identical Flavouring Substances), Anticaking Agent (551), Edible Vegetable Oil (Sunflower, Palm), Flavour Enhancers (627,631)). As flavouring agent. &quot;Contains Onion and Garlic",Pepsico,unknown,FOOD_002492,0.2857142857142857
OFF_8901491983143,lays potato chips,,Processed_Foods,OpenFoodFacts,Packaged_Food,100,544.0,7.0,33.0,54.7,0.0,0.0,686.816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,54.7,0.0,Unknown,"Potato, Edible Vegetable Oil (Palmolein Oil, Rice Bran Oil), Sugar (5.5%), Starch, lodised Salt, &quot;Spices & Condiments (Garlic Powder, Onion Powder, Chilli), Cocoa Solids, Milk Solids. CONTAINS ADDED FLAVOUR (NATURAL, NATURE IDENTICAL &ARTIFICIAL (SOY SAUCE) FLAVOURING SUBSTANCES) &quot;Ued a natural flavouring agent. POTATO CHIPS PROPRIETARY FOOD&quot; Limited perod offer valid in select geographies only.",Lay's,e,FOOD_002493,0.32142857142857145
